diameter,weight,hexcode,fruit
10.69,184.77,#934A07,grapefruit
13.18,223.68,#983D19,grapefruit
7.68,140.59,#9F5712,orange
10.4,180.14,#973E0E,grapefruit
9.17,163.49,#985209,orange
8.62,154.59,#965F0E,orange
12.72,216.56,#9A3F14,grapefruit
11.88,203.89,#835520,grapefruit
11.47,197.82,#934417,grapefruit
7.84,136.63,#954D14,grapefruit
13.49,228.67,#89510B,grapefruit
9.11,158.73,#944A18,grapefruit
12.65,215.53,#A43D0D,grapefruit
12.72,216.69,#9C5117,grapefruit
8.61,154.36,#975E13,orange
11.63,200.11,#8A5614,grapefruit
10.01,174.51,#A04D07,grapefruit
8.94,159.91,#AC5702,orange
6.7,126.44,#905902,orange
8.71,156.14,#974B02,orange
9.86,172.33,#984E11,grapefruit
12.1,207.06,#9C540C,grapefruit
7.58,139.13,#9B4B0B,orange
10.12,177.42,#9F580F,orange
8.47,152.57,#A55C03,orange
13.2,223.97,#9F4319,grapefruit
10.99,190.04,#97360B,grapefruit
13.37,227.0,#965002,grapefruit
8.84,158.12,#94530C,orange
10.92,188.97,#9F5610,grapefruit
10.88,188.3,#963E1F,grapefruit
8.39,151.15,#A95511,orange
13.67,231.47,#8D3D1C,grapefruit
10.76,186.04,#8B2E13,grapefruit
12.38,210.89,#874A12,grapefruit
12.33,210.25,#A53B07,grapefruit
4.68,100.2,#9F5A10,orange
6.72,126.69,#A85302,orange
12.05,206.28,#AD4106,grapefruit
10.78,186.47,#8E430D,grapefruit
8.92,159.56,#A24A02,orange
6.77,127.28,#AB4D0B,orange
9.02,156.18,#94450B,grapefruit
10.07,176.87,#A24314,orange
8.9,159.25,#98500A,orange
11.36,196.14,#984715,grapefruit
9.29,165.16,#A03502,orange
9.67,171.22,#935B05,orange
8.94,159.86,#9F5108,orange
7.09,132.75,#A34E15,orange
10.2,177.52,#904C10,grapefruit
11.29,194.99,#9E5018,grapefruit
8.15,147.83,#AB4614,orange
9.0,160.71,#9C590D,orange
11.15,192.55,#934F14,grapefruit
9.76,172.57,#9A6102,orange
8.91,159.36,#A15402,orange
11.36,196.16,#983807,grapefruit
8.72,156.19,#8C4607,orange
14.67,244.78,#A33E02,grapefruit
12.03,206.0,#913F05,grapefruit
10.57,182.86,#8D4822,grapefruit
11.82,203.2,#964414,grapefruit
8.58,153.8,#A24C16,orange
12.48,212.65,#96431B,grapefruit
14.34,242.13,#A0430A,grapefruit
9.87,174.13,#9A5503,orange
13.39,227.32,#93530F,grapefruit
11.22,193.85,#9A4918,grapefruit
7.34,135.88,#8C3F03,orange
12.63,215.28,#984611,grapefruit
